key_date,day,month,year,key_season
77,2011-03-07,2011-03,2011,1
78,2011-03-12,2011-03,2011,1
79,2011-03-13,2011-03,2011,1
80,2011-03-14,2011-03,2011,1
81,2011-03-19,2011-03,2011,1
82,2011-03-20,2011-03,2011,1
83,2011-04-02,2011-04,2011,1
84,2011-04-03,2011-04,2011,1
85,2011-04-04,2011-04,2011,1
86,2011-04-09,2011-04,2011,1
87,2011-04-10,2011-04,2011,1
88,2011-04-11,2011-04,2011,1
89,2011-04-16,2011-04,2011,1
90,2011-04-17,2011-04,2011,1
91,2011-04-18,2011-04,2011,1
92,2011-04-23,2011-04,2011,1
93,2011-04-24,2011-04,2011,1
94,2011-04-25,2011-04,2011,1
95,2011-04-30,2011-04,2011,1
96,2011-05-01,2011-05,2011,1
97,2011-05-02,2011-05,2011,1
98,2011-05-07,2011-05,2011,1
99,2011-05-08,2011-05,2011,1
100,2011-05-10,2011-05,2011,1
101,2011-05-11,2011-05,2011,1
102,2011-05-15,2011-05,2011,1
103,2011-05-21,2011-05,2011,1
104,2010-08-23,2010-08,2010,1
105,2010-08-14,2010-08,2010,1
106,2010-08-15,2010-08,2010,1
107,2010-08-16,2010-08,2010,1
108,2010-08-21,2010-08,2010,1
109,2010-08-22,2010-08,2010,1
110,2010-11-09,2010-11,2010,1
111,2010-11-10,2010-11,2010,1
112,2011-01-25,2011-01,2011,1
113,2011-01-26,2011-01,2011,1
114,2011-02-15,2011-02,2011,1
115,2011-02-22,2011-02,2011,1
116,2011-02-23,2011-02,2011,1
117,2010-12-26,2010-12,2010,1
118,2010-12-27,2010-12,2010,1
119,2011-01-12,2011-01,2011,1
120,2011-03-09,2011-03,2011,1
121,2010-12-28,2010-12,2010,1
122,2010-12-29,2010-12,2010,1
123,2011-01-01,2011-01,2011,1
124,2011-01-04,2011-01,2011,1
125,2011-01-05,2011-01,2011,1
126,2011-02-01,2011-02,2011,1
127,2011-02-02,2011-02,2011,1
128,2011-04-20,2011-04,2011,1
129,2011-04-19,2011-04,2011,1
130,2011-04-26,2011-04,2011,1
131,2011-04-27,2011-04,2011,1
132,2011-05-09,2011-05,2011,1
133,2011-05-14,2011-05,2011,1
134,2011-05-17,2011-05,2011,1
135,2011-05-22,2011-05,2011,1
136,2010-08-20,2010-08,2010,1
137,2010-08-27,2010-08,2010,1
138,2010-09-10,2010-09,2010,1
139,2010-09-17,2010-09,2010,1
140,2010-09-24,2010-09,2010,1
141,2010-10-01,2010-10,2010,1
142,2010-10-15,2010-10,2010,1
143,2010-10-22,2010-10,2010,1
144,2010-10-29,2010-10,2010,1
145,2010-11-05,2010-11,2010,1
146,2010-11-12,2010-11,2010,1
147,2010-11-26,2010-11,2010,1
148,2010-12-03,2010-12,2010,1
149,2010-12-10,2010-12,2010,1
150,2010-12-17,2010-12,2010,1
151,2011-01-14,2011-01,2011,1
152,2011-01-21,2011-01,2011,1
153,2011-01-28,2011-01,2011,1
154,2011-02-04,2011-02,2011,1
155,2011-02-16,2011-02,2011,1
156,2011-02-18,2011-02,2011,1
157,2011-02-25,2011-02,2011,1
158,2011-03-04,2011-03,2011,1
159,2011-03-11,2011-03,2011,1
160,2011-03-18,2011-03,2011,1
161,2011-04-01,2011-04,2011,1
162,2011-04-08,2011-04,2011,1
163,2011-04-15,2011-04,2011,1
164,2011-04-21,2011-04,2011,1
165,2011-04-29,2011-04,2011,1
166,2010-08-07,2010-08,2010,1
167,2010-08-08,2010-08,2010,1
168,2010-08-17,2010-08,2010,1
169,2010-11-02,2010-11,2010,1
170,2010-12-01,2010-12,2010,1
171,2010-11-30,2010-11,2010,1
172,2011-01-19,2011-01,2011,1
173,2010-12-21,2010-12,2010,1
174,2010-12-22,2010-12,2010,1
175,2011-05-16,2011-05,2011,1
176,2011-05-18,2011-05,2011,1
177,2011-05-29,2011-05,2011,1
178,2010-11-11,2010-11,2010,1
179,2010-12-08,2010-12,2010,1
180,2011-01-06,2011-01,2011,1
181,2011-02-03,2011-02,2011,1
182,2012-03-17,2012-03,2012,2
183,2012-01-21,2012-01,2012,2
184,2012-01-22,2012-01,2012,2
185,2012-01-23,2012-01,2012,2
186,2011-08-27,2011-08,2011,2
187,2011-08-28,2011-08,2011,2
188,2011-08-29,2011-08,2011,2
189,2011-09-10,2011-09,2011,2
190,2011-09-11,2011-09,2011,2
191,2011-09-12,2011-09,2011,2
192,2011-09-17,2011-09,2011,2
193,2011-09-18,2011-09,2011,2
194,2011-09-20,2011-09,2011,2
195,2011-09-21,2011-09,2011,2
196,2011-09-22,2011-09,2011,2
197,2011-09-24,2011-09,2011,2
198,2011-09-25,2011-09,2011,2
199,2011-11-05,2011-11,2011,2
200,2011-09-26,2011-09,2011,2
201,2011-10-01,2011-10,2011,2
202,2011-10-02,2011-10,2011,2
203,2011-10-15,2011-10,2011,2
204,2011-10-16,2011-10,2011,2
205,2011-10-29,2011-10,2011,2
206,2011-10-17,2011-10,2011,2
207,2011-10-22,2011-10,2011,2
208,2011-10-23,2011-10,2011,2
209,2011-10-25,2011-10,2011,2
210,2011-10-26,2011-10,2011,2
211,2011-10-27,2011-10,2011,2
212,2011-10-30,2011-10,2011,2
213,2011-10-31,2011-10,2011,2
214,2011-11-06,2011-11,2011,2
215,2011-11-19,2011-11,2011,2
216,2011-11-20,2011-11,2011,2
217,2011-11-21,2011-11,2011,2
218,2011-12-07,2011-12,2011,2
219,2011-11-26,2011-11,2011,2
220,2011-11-27,2011-11,2011,2
221,2011-11-28,2011-11,2011,2
222,2011-12-03,2011-12,2011,2
223,2011-12-04,2011-12,2011,2
224,2011-12-05,2011-12,2011,2
225,2011-12-10,2011-12,2011,2
226,2011-12-11,2011-12,2011,2
227,2011-11-29,2011-11,2011,2
228,2011-12-17,2011-12,2011,2
229,2011-12-18,2011-12,2011,2
230,2012-01-07,2012-01,2012,2
231,2012-01-08,2012-01,2012,2
232,2012-01-14,2012-01,2012,2
233,2012-01-15,2012-01,2012,2
234,2012-05-01,2012-05,2012,2
235,2012-05-02,2012-05,2012,2
236,2012-01-28,2012-01,2012,2
237,2012-01-29,2012-01,2012,2
238,2012-01-30,2012-01,2012,2
239,2012-02-04,2012-02,2012,2
240,2012-02-05,2012-02,2012,2
241,2012-02-06,2012-02,2012,2
242,2012-02-11,2012-02,2012,2
243,2012-02-12,2012-02,2012,2
244,2012-02-13,2012-02,2012,2
245,2012-02-18,2012-02,2012,2
246,2012-02-19,2012-02,2012,2
247,2012-02-20,2012-02,2012,2
248,2012-02-25,2012-02,2012,2
249,2012-02-26,2012-02,2012,2
250,2012-03-03,2012-03,2012,2
251,2012-03-04,2012-03,2012,2
252,2012-03-05,2012-03,2012,2
253,2012-03-10,2012-03,2012,2
254,2012-03-11,2012-03,2012,2
255,2012-03-12,2012-03,2012,2
256,2012-03-18,2012-03,2012,2
257,2012-03-19,2012-03,2012,2
258,2012-03-20,2012-03,2012,2
259,2012-03-21,2012-03,2012,2
260,2012-03-22,2012-03,2012,2
261,2012-03-24,2012-03,2012,2
262,2012-03-25,2012-03,2012,2
263,2012-03-26,2012-03,2012,2
264,2012-03-31,2012-03,2012,2
265,2012-04-01,2012-04,2012,2
266,2012-04-02,2012-04,2012,2
267,2012-04-07,2012-04,2012,2
268,2012-04-08,2012-04,2012,2
269,2012-04-09,2012-04,2012,2
270,2012-04-10,2012-04,2012,2
271,2012-04-11,2012-04,2012,2
272,2012-04-12,2012-04,2012,2
273,2012-04-14,2012-04,2012,2
274,2012-04-15,2012-04,2012,2
275,2012-04-16,2012-04,2012,2
276,2012-04-21,2012-04,2012,2
277,2012-04-22,2012-04,2012,2
278,2012-04-23,2012-04,2012,2
279,2012-04-28,2012-04,2012,2
280,2012-04-29,2012-04,2012,2
281,2012-05-05,2012-05,2012,2
282,2012-05-12,2012-05,2012,2
283,2012-05-13,2012-05,2012,2
284,2011-08-13,2011-08,2011,2
285,2011-08-14,2011-08,2011,2
286,2011-08-15,2011-08,2011,2
287,2012-01-11,2012-01,2012,2
288,2011-08-20,2011-08,2011,2
289,2011-08-21,2011-08,2011,2
290,2011-08-22,2011-08,2011,2
291,2011-12-12,2011-12,2011,2
292,2011-12-20,2011-12,2011,2
293,2011-12-21,2011-12,2011,2
294,2011-12-22,2011-12,2011,2
295,2011-12-26,2011-12,2011,2
296,2011-12-27,2011-12,2011,2
297,2011-12-30,2011-12,2011,2
298,2011-12-31,2011-12,2011,2
299,2012-01-01,2012-01,2012,2
300,2012-01-02,2012-01,2012,2
301,2012-01-03,2012-01,2012,2
302,2012-01-04,2012-01,2012,2
303,2012-01-16,2012-01,2012,2
304,2012-01-31,2012-01,2012,2
305,2012-02-01,2012-02,2012,2
306,2012-03-13,2012-03,2012,2
307,2012-04-24,2012-04,2012,2
308,2012-04-06,2012-04,2012,2
309,2012-04-30,2012-04,2012,2
310,2012-05-06,2012-05,2012,2
311,2012-05-07,2012-05,2012,2
312,2012-05-08,2012-05,2012,2
313,2011-08-05,2011-08,2011,2
314,2011-08-06,2011-08,2011,2
315,2011-08-07,2011-08,2011,2
316,2011-08-19,2011-08,2011,2
317,2011-08-26,2011-08,2011,2
318,2011-09-09,2011-09,2011,2
319,2011-09-16,2011-09,2011,2
320,2011-09-23,2011-09,2011,2
321,2011-09-30,2011-09,2011,2
322,2011-10-14,2011-10,2011,2
323,2011-10-21,2011-10,2011,2
324,2011-10-28,2011-10,2011,2
325,2011-11-04,2011-11,2011,2
326,2011-11-18,2011-11,2011,2
327,2011-12-13,2011-12,2011,2
328,2011-11-25,2011-11,2011,2
329,2011-12-02,2011-12,2011,2
330,2011-12-09,2011-12,2011,2
331,2011-12-16,2011-12,2011,2
332,2012-01-20,2012-01,2012,2
333,2012-01-27,2012-01,2012,2
334,2012-02-03,2012-02,2012,2
335,2012-02-10,2012-02,2012,2
336,2012-02-17,2012-02,2012,2
337,2012-02-24,2012-02,2012,2
338,2012-03-09,2012-03,2012,2
339,2012-03-16,2012-03,2012,2
340,2012-03-23,2012-03,2012,2
341,2012-03-30,2012-03,2012,2
342,2012-04-13,2012-04,2012,2
343,2012-04-20,2012-04,2012,2
344,2014-08-10,2014-08,2014,3
345,2012-02-22,2012-02,2012,2
346,2014-08-15,2014-08,2014,3
347,2012-03-06,2012-03,2012,2
348,2012-04-18,2012-04,2012,2
349,2012-04-27,2012-04,2012,2
350,2012-05-10,2012-05,2012,2
351,2012-05-03,2012-05,2012,2
352,2012-05-20,2012-05,2012,2
353,2012-02-08,2012-02,2012,2
354,2012-02-02,2012-02,2012,2
355,2012-02-15,2012-02,2012,2
356,2012-02-21,2012-02,2012,2
357,2012-03-07,2012-03,2012,2
358,2012-02-09,2012-02,2012,2
359,2012-04-25,2012-04,2012,2
360,2012-08-18,2012-08,2012,4
361,2012-08-19,2012-08,2012,4
362,2012-08-20,2012-08,2012,4
363,2012-08-25,2012-08,2012,4
364,2012-08-26,2012-08,2012,4
365,2012-08-27,2012-08,2012,4
366,2012-09-01,2012-09,2012,4
367,2012-09-02,2012-09,2012,4
368,2012-09-26,2012-09,2012,4
369,2012-09-15,2012-09,2012,4
370,2012-09-16,2012-09,2012,4
371,2012-09-17,2012-09,2012,4
372,2012-09-22,2012-09,2012,4
373,2012-09-23,2012-09,2012,4
374,2012-09-24,2012-09,2012,4
375,2012-09-29,2012-09,2012,4
376,2012-09-30,2012-09,2012,4
377,2012-10-01,2012-10,2012,4
378,2012-10-05,2012-10,2012,4
379,2012-10-06,2012-10,2012,4
380,2012-10-07,2012-10,2012,4
381,2012-10-20,2012-10,2012,4
382,2012-10-21,2012-10,2012,4
383,2013-03-09,2013-03,2013,4
384,2012-10-22,2012-10,2012,4
385,2012-10-27,2012-10,2012,4
386,2012-10-28,2012-10,2012,4
387,2012-10-29,2012-10,2012,4
388,2012-11-03,2012-11,2012,4
389,2012-11-04,2012-11,2012,4
390,2012-11-05,2012-11,2012,4
391,2012-11-09,2012-11,2012,4
392,2012-11-10,2012-11,2012,4
393,2012-11-11,2012-11,2012,4
394,2012-11-17,2012-11,2012,4
395,2012-11-18,2012-11,2012,4
396,2012-11-19,2012-11,2012,4
397,2012-11-23,2012-11,2012,4
398,2012-11-24,2012-11,2012,4
399,2012-11-25,2012-11,2012,4
400,2012-11-26,2012-11,2012,4
401,2012-11-30,2012-11,2012,4
402,2012-12-01,2012-12,2012,4
403,2012-12-02,2012-12,2012,4
404,2012-12-03,2012-12,2012,4
405,2012-12-07,2012-12,2012,4
406,2012-12-08,2012-12,2012,4
407,2012-12-09,2012-12,2012,4
408,2012-12-10,2012-12,2012,4
409,2012-12-15,2012-12,2012,4
410,2012-12-16,2012-12,2012,4
411,2012-12-17,2012-12,2012,4
412,2012-12-20,2012-12,2012,4
413,2012-12-21,2012-12,2012,4
414,2012-12-22,2012-12,2012,4
415,2013-01-04,2013-01,2013,4
416,2013-01-05,2013-01,2013,4
417,2013-01-06,2013-01,2013,4
418,2013-01-07,2013-01,2013,4
419,2013-01-11,2013-01,2013,4
420,2013-01-12,2013-01,2013,4
421,2013-01-13,2013-01,2013,4
422,2013-01-14,2013-01,2013,4
423,2013-01-18,2013-01,2013,4
424,2013-01-19,2013-01,2013,4
425,2014-09-24,2014-09,2014,3
426,2013-01-20,2013-01,2013,4
427,2013-01-21,2013-01,2013,4
428,2013-01-26,2013-01,2013,4
429,2013-01-27,2013-01,2013,4
430,2013-01-28,2013-01,2013,4
431,2013-02-01,2013-02,2013,4
432,2013-02-02,2013-02,2013,4
433,2013-02-03,2013-02,2013,4
434,2013-02-09,2013-02,2013,4
435,2013-02-10,2013-02,2013,4
436,2013-02-11,2013-02,2013,4
437,2013-02-15,2013-02,2013,4
438,2013-02-16,2013-02,2013,4
439,2013-02-17,2013-02,2013,4
440,2013-02-22,2013-02,2013,4
441,2013-02-23,2013-02,2013,4
442,2013-02-24,2013-02,2013,4
443,2013-02-25,2013-02,2013,4
444,2013-03-01,2013-03,2013,4
445,2013-03-02,2013-03,2013,4
446,2013-03-03,2013-03,2013,4
447,2013-03-04,2013-03,2013,4
448,2013-03-08,2013-03,2013,4
449,2013-03-10,2013-03,2013,4
450,2013-03-11,2013-03,2013,4
451,2013-03-15,2013-03,2013,4
452,2013-03-16,2013-03,2013,4
453,2013-03-17,2013-03,2013,4
454,2013-03-30,2013-03,2013,4
455,2013-03-31,2013-03,2013,4
456,2014-10-18,2014-10,2014,3
457,2013-04-01,2013-04,2013,4
458,2013-04-05,2013-04,2013,4
459,2013-04-06,2013-04,2013,4
460,2013-04-07,2013-04,2013,4
461,2013-04-08,2013-04,2013,4
462,2013-04-12,2013-04,2013,4
463,2013-04-13,2013-04,2013,4
464,2013-04-14,2013-04,2013,4
465,2013-04-15,2013-04,2013,4
466,2013-04-19,2013-04,2013,4
467,2013-05-19,2013-05,2013,4
468,2013-04-20,2013-04,2013,4
469,2013-04-21,2013-04,2013,4
470,2013-04-22,2013-04,2013,4
471,2013-04-26,2013-04,2013,4
472,2013-04-27,2013-04,2013,4
473,2013-04-28,2013-04,2013,4
474,2013-04-29,2013-04,2013,4
475,2013-05-03,2013-05,2013,4
476,2013-05-04,2013-05,2013,4
477,2013-05-05,2013-05,2013,4
478,2013-05-06,2013-05,2013,4
479,2013-05-10,2013-05,2013,4
480,2013-05-11,2013-05,2013,4
481,2013-05-12,2013-05,2013,4
482,2013-05-13,2013-05,2013,4
483,2013-05-08,2013-05,2013,4
484,2013-05-18,2013-05,2013,4
485,2013-05-20,2013-05,2013,4
486,2013-05-26,2013-05,2013,4
487,2013-06-01,2013-06,2013,4
488,2012-12-11,2012-12,2012,4
489,2012-08-22,2012-08,2012,4
490,2012-11-27,2012-11,2012,4
491,2012-11-28,2012-11,2012,4
492,2013-01-16,2013-01,2013,4
493,2012-12-23,2012-12,2012,4
494,2012-12-26,2012-12,2012,4
495,2013-01-23,2013-01,2013,4
496,2012-12-29,2012-12,2012,4
497,2012-12-30,2012-12,2012,4
498,2013-01-01,2013-01,2013,4
499,2013-01-02,2013-01,2013,4
500,2013-01-29,2013-01,2013,4
501,2013-01-30,2013-01,2013,4
502,2013-04-16,2013-04,2013,4
503,2013-04-17,2013-04,2013,4
504,2013-05-07,2013-05,2013,4
505,2013-05-14,2013-05,2013,4
506,2012-08-24,2012-08,2012,4
507,2012-08-31,2012-08,2012,4
508,2012-09-14,2012-09,2012,4
509,2012-09-21,2012-09,2012,4
510,2012-09-25,2012-09,2012,4
511,2012-09-28,2012-09,2012,4
512,2012-10-19,2012-10,2012,4
513,2012-10-26,2012-10,2012,4
514,2012-11-02,2012-11,2012,4
515,2012-12-14,2012-12,2012,4
516,2013-01-25,2013-01,2013,4
517,2012-08-10,2012-08,2012,4
518,2012-08-11,2012-08,2012,4
519,2012-08-12,2012-08,2012,4
520,2012-08-17,2012-08,2012,4
521,2012-11-07,2012-11,2012,4
522,2012-11-16,2012-11,2012,4
523,2012-12-12,2012-12,2012,4
524,2012-12-13,2012-12,2012,4
525,2013-02-08,2013-02,2013,4
526,2013-03-29,2013-03,2013,4
527,2013-09-29,2013-09,2013,5
528,2013-04-24,2013-04,2013,4
529,2012-09-27,2012-09,2012,4
530,2012-10-30,2012-10,2012,4
531,2012-10-31,2012-10,2012,4
532,2012-11-01,2012-11,2012,4
533,2013-02-18,2013-02,2013,4
534,2013-02-26,2013-02,2013,4
535,2013-04-03,2013-04,2013,4
536,2013-08-17,2013-08,2013,5
537,2013-08-18,2013-08,2013,5
538,2013-08-19,2013-08,2013,5
539,2013-08-23,2013-08,2013,5
540,2013-08-24,2013-08,2013,5
541,2013-08-25,2013-08,2013,5
542,2013-08-26,2013-08,2013,5
543,2013-08-30,2013-08,2013,5
544,2013-08-31,2013-08,2013,5
545,2013-09-01,2013-09,2013,5
546,2013-09-14,2013-09,2013,5
547,2013-09-15,2013-09,2013,5
548,2013-09-16,2013-09,2013,5
549,2013-09-20,2013-09,2013,5
550,2013-09-21,2013-09,2013,5
551,2013-09-22,2013-09,2013,5
552,2013-09-23,2013-09,2013,5
553,2013-09-24,2013-09,2013,5
554,2013-09-25,2013-09,2013,5
555,2013-09-26,2013-09,2013,5
556,2013-09-27,2013-09,2013,5
557,2013-09-28,2013-09,2013,5
558,2013-09-30,2013-09,2013,5
559,2013-10-04,2013-10,2013,5
560,2013-10-05,2013-10,2013,5
561,2013-10-06,2013-10,2013,5
562,2013-10-19,2013-10,2013,5
563,2013-10-20,2013-10,2013,5
564,2013-10-21,2013-10,2013,5
565,2013-10-25,2013-10,2013,5
566,2013-10-26,2013-10,2013,5
567,2013-10-27,2013-10,2013,5
568,2013-10-28,2013-10,2013,5
569,2013-10-29,2013-10,2013,5
570,2013-10-30,2013-10,2013,5
571,2013-10-31,2013-10,2013,5
572,2013-11-01,2013-11,2013,5
573,2013-11-02,2013-11,2013,5
574,2013-11-03,2013-11,2013,5
575,2013-11-04,2013-11,2013,5
576,2013-11-08,2013-11,2013,5
577,2013-11-09,2013-11,2013,5
578,2013-11-10,2013-11,2013,5
579,2013-11-22,2013-11,2013,5
580,2013-11-23,2013-11,2013,5
581,2013-11-24,2013-11,2013,5
582,2013-11-25,2013-11,2013,5
583,2013-11-29,2013-11,2013,5
584,2013-11-30,2013-11,2013,5
585,2013-12-01,2013-12,2013,5
586,2013-12-13,2013-12,2013,5
587,2013-12-14,2013-12,2013,5
588,2013-12-15,2013-12,2013,5
589,2013-12-16,2013-12,2013,5
590,2013-12-20,2013-12,2013,5
591,2013-12-21,2013-12,2013,5
592,2013-12-22,2013-12,2013,5
593,2014-01-04,2014-01,2014,5
594,2014-01-05,2014-01,2014,5
595,2014-01-06,2014-01,2014,5
596,2014-01-10,2014-01,2014,5
597,2014-01-11,2014-01,2014,5
598,2014-01-12,2014-01,2014,5
599,2014-01-13,2014-01,2014,5
600,2014-01-17,2014-01,2014,5
601,2014-01-18,2014-01,2014,5
602,2014-01-19,2014-01,2014,5
603,2014-01-20,2014-01,2014,5
604,2014-01-24,2014-01,2014,5
605,2014-01-25,2014-01,2014,5
606,2014-01-26,2014-01,2014,5
607,2014-01-27,2014-01,2014,5
608,2014-01-31,2014-01,2014,5
609,2014-02-01,2014-02,2014,5
610,2014-02-02,2014-02,2014,5
611,2014-02-03,2014-02,2014,5
612,2014-02-07,2014-02,2014,5
613,2014-02-08,2014-02,2014,5
614,2014-02-09,2014-02,2014,5
615,2014-02-10,2014-02,2014,5
616,2014-02-14,2014-02,2014,5
617,2014-02-15,2014-02,2014,5
618,2014-02-16,2014-02,2014,5
619,2014-02-17,2014-02,2014,5
620,2014-02-21,2014-02,2014,5
621,2014-02-22,2014-02,2014,5
622,2014-02-23,2014-02,2014,5
623,2014-02-24,2014-02,2014,5
624,2014-02-28,2014-02,2014,5
625,2014-03-01,2014-03,2014,5
626,2014-03-02,2014-03,2014,5
627,2014-03-08,2014-03,2014,5
628,2014-03-09,2014-03,2014,5
629,2014-03-10,2014-03,2014,5
630,2014-03-14,2014-03,2014,5
631,2014-03-15,2014-03,2014,5
632,2014-03-16,2014-03,2014,5
633,2014-03-17,2014-03,2014,5
634,2014-03-21,2014-03,2014,5
635,2014-03-22,2014-03,2014,5
636,2014-03-23,2014-03,2014,5
637,2014-03-24,2014-03,2014,5
638,2014-03-25,2014-03,2014,5
639,2014-03-26,2014-03,2014,5
640,2014-03-27,2014-03,2014,5
641,2014-03-29,2014-03,2014,5
642,2014-03-30,2014-03,2014,5
643,2014-03-31,2014-03,2014,5
644,2014-04-04,2014-04,2014,5
645,2014-04-05,2014-04,2014,5
646,2014-04-06,2014-04,2014,5
647,2014-04-07,2014-04,2014,5
648,2014-04-11,2014-04,2014,5
649,2014-04-12,2014-04,2014,5
650,2014-04-13,2014-04,2014,5
651,2014-04-14,2014-04,2014,5
652,2014-04-18,2014-04,2014,5
653,2014-04-19,2014-04,2014,5
654,2014-04-20,2014-04,2014,5
655,2014-04-21,2014-04,2014,5
656,2014-05-07,2014-05,2014,5
657,2014-04-25,2014-04,2014,5
658,2014-04-26,2014-04,2014,5
659,2014-04-27,2014-04,2014,5
660,2014-04-28,2014-04,2014,5
661,2014-05-02,2014-05,2014,5
662,2014-05-03,2014-05,2014,5
663,2014-05-04,2014-05,2014,5
664,2014-05-05,2014-05,2014,5
665,2014-05-10,2014-05,2014,5
666,2014-05-11,2014-05,2014,5
667,2014-05-16,2014-05,2014,5
668,2014-05-17,2014-05,2014,5
669,2014-05-18,2014-05,2014,5
670,2013-08-21,2013-08,2013,5
671,2013-12-03,2013-12,2013,5
672,2013-12-04,2013-12,2013,5
673,2013-12-07,2013-12,2013,5
674,2013-12-08,2013-12,2013,5
675,2013-12-09,2013-12,2013,5
676,2013-12-23,2013-12,2013,5
677,2013-12-26,2013-12,2013,5
678,2013-12-28,2013-12,2013,5
679,2013-12-29,2013-12,2013,5
680,2014-01-01,2014-01,2014,5
681,2014-01-28,2014-01,2014,5
682,2014-01-29,2014-01,2014,5
683,2014-02-11,2014-02,2014,5
684,2014-02-12,2014-02,2014,5
685,2014-04-16,2014-04,2014,5
686,2014-04-15,2014-04,2014,5
687,2014-05-06,2014-05,2014,5
688,2013-08-09,2013-08,2013,5
689,2013-08-10,2013-08,2013,5
690,2013-08-11,2013-08,2013,5
691,2013-08-27,2013-08,2013,5
692,2013-09-13,2013-09,2013,5
693,2013-10-18,2013-10,2013,5
694,2013-12-06,2013-12,2013,5
695,2014-03-28,2014-03,2014,5
696,2014-04-17,2014-04,2014,5
697,2013-08-16,2013-08,2013,5
698,2013-12-05,2013-12,2013,5
699,2014-01-08,2014-01,2014,5
700,2014-10-19,2014-10,2014,3
701,2014-02-25,2014-02,2014,5
702,2014-03-07,2014-03,2014,5
703,2014-04-23,2014-04,2014,5
704,2013-12-02,2013-12,2013,5
705,2014-10-24,2014-10,2014,3
706,2014-04-02,2014-04,2014,5
707,2014-12-03,2014-12,2014,3
708,2015-01-24,2015-01,2015,3
709,2014-11-23,2014-11,2014,3
710,2014-08-23,2014-08,2014,3
711,2014-08-24,2014-08,2014,3
712,2014-08-25,2014-08,2014,3
713,2014-08-29,2014-08,2014,3
714,2014-08-30,2014-08,2014,3
715,2014-08-31,2014-08,2014,3
716,2014-09-12,2014-09,2014,3
717,2014-09-13,2014-09,2014,3
718,2014-09-14,2014-09,2014,3
719,2014-09-15,2014-09,2014,3
720,2014-09-19,2014-09,2014,3
721,2014-09-20,2014-09,2014,3
722,2014-09-21,2014-09,2014,3
723,2014-09-22,2014-09,2014,3
724,2014-09-23,2014-09,2014,3
725,2015-01-25,2015-01,2015,3
726,2014-09-25,2014-09,2014,3
727,2014-09-26,2014-09,2014,3
728,2014-09-27,2014-09,2014,3
729,2014-09-28,2014-09,2014,3
730,2014-10-03,2014-10,2014,3
731,2014-10-04,2014-10,2014,3
732,2014-10-05,2014-10,2014,3
733,2014-10-17,2014-10,2014,3
734,2014-10-20,2014-10,2014,3
735,2014-10-25,2014-10,2014,3
